,BPS_School_Name,BPS_Address,BRA_Neighborhood,SMMA_latitude,SMMA_longitude,SMMA_Typology,BPS_Grades_Offered,BPS_GSF,SMMA_Site_Acres,BPS_Year_Founded,BPS_Year_Built,BPS_Principal,BPS_Open,BPS_Close,DOE_PK,DOE_K,GSF/StudentValue,BPS_KWH,BPS_Electric_Bill,BPS_Therms,BPS_Gas_Bill,BPS_Water_Bill,BPS_Total_Energy_Cost,SMMA_FA_Overall_Building_Condition,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_Overall_Site_Condition,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_EA_Building_Ventilation,SMMA_EA_Building_Natural_Daylighting,SMMA_EA_Building_Air_Quality,SMMA_EA_site_includes_Playgrounds,SMMA_EA_site_includes_PlayFields
104,"Ohrenberger, William H. K-8","175 W Boundary Rd West Roxbury, MA 02132",West Roxbury,42.260788399999996,-71.1496873,K-8,3-8,111592.0,14.00640496,1972,1972.0,Naomi Krakow,8:30:00 AM,2:30:00 PM,0.0,0.0,181.0,621552.0,131102.0,75513.0,85184.0,14672.0,230958.0,Good,Replace,Adequate,Fair,No,Yes,Yes,Fair,Good,Good,Good,Yes,Yes
105,Orchard Gardens K-8,"906 Albany St Roxbury, MA 02119",Roxbury,42.3305706,-71.0772767,K-8,K1-8,141872.0,3.505280073,2002,2002.0,"Megan Webb, Interim Principal",7:25:00 AM,2:30:00 PM,55.0,82.0,172.0,1253910.0,229694.0,61989.0,68979.0,28956.0,327629.0,Excellent,Not Present,Adequate,Good,Yes,Yes,Yes,Good,Good,Excellent,Good,Yes,No
106,"Otis, James Elementary","218 Marion St East Boston, MA 02128",East Boston,42.375254,-71.03387099999999,Elementary School,K1-5,35000.0,0.59687787,1905,1905.0,Paula Cerqueira-Goncalve,8:30:00 AM,2:30:00 PM,50.0,61.0,168.0,105468.0,16080.0,11584.0,13644.0,19688.0,49412.0,Fair,Not Present,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Poor,Poor,Yes,No
107,"Perkins, Michael J. Elementary","50 Rev Burke St Boston, MA 02127",Roxbury,42.331194200000006,-71.0531452,Elementary School,K2-5,28407.0,0.813705234,1926,1926.0,Craig Martin,8:30:00 AM,2:30:00 PM,0.0,34.0,180.0,92496.0,11989.0,12818.0,14975.0,3312.0,30276.0,Fair,Moderate,Adequate,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
108,"Perry, Oliver Hazard K-8","745 E Seventh St South Boston, MA 02127",South Boston,42.3323674,-71.0302256,K-8,K1-8,38744.0,1.033034894,1905,1904.0,"Geoffrey Rose, Interim Principal",9:30:00 AM,3:30:00 PM,22.0,23.0,309.0,95648.0,12903.0,16230.0,24982.0,3311.0,41196.0,Fair,Replace,Minor,Fair,No,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
109,"Philbrick, John D. Elementary","40 Philbrick St Roslindale, MA 02131",Roslindale,42.285385,-71.117692,Elementary School,K1-5,19480.0,0.758539945,1913,1913.0,Amy Sprott,9:30:00 AM,3:30:00 PM,12.0,20.0,180.0,73316.0,11259.0,6756.0,8346.0,3482.0,23087.0,Fair,Moderate,Moderate,Fair,No,Yes,Yes,Fair,Deficient,Good,Deficient,Yes,No
110,"Quincy, Josiah Elementary","885 Washington St Boston, MA 02111",Chinatown,42.34799,-71.064984,Elementary School,K0-5,183541.0,1.937786961,1976,1976.0,Simon Ho,9:30:00 AM,3:30:00 PM,41.0,117.0,145.0,1830840.0,249768.0,75299.0,83904.0,66578.0,400250.0,Fair,Not Present,Minor,Good,Yes,Yes,Yes,Good,Fair,Good,Fair,Yes,No
115,"Roosevelt, Franklin D. K-8 (Upper School)","95 Needham Rd Hyde Park, MA 02136",Hyde Park,42.2430099,-71.1240825,K-8,2-8,31370.0,1.212121212,1956,1967.0,Lynda-Lee Sheridan,8:30:00 AM,2:30:00 PM,0.0,0.0,190.0,141520.0,24051.0,22924.0,17192.0,3244.0,44487.0,Excellent,Moderate,Minor,Fair,No,Yes,Yes,Fair,Poor,Good,Poor,Yes,No
116,"Russell, William E. Elementary","750 Columbia Rd Dorchester, MA 02125",Dorchester,42.3203612,-71.0594969,Elementary School,K0-5,53585.0,1.2873966940000001,1903,1903.0,Tamara Blake,8:30:00 AM,2:30:00 PM,66.0,60.0,168.0,147240.0,25240.0,31324.0,42637.0,6357.0,74234.0,Fair,Replace,Adequate,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,Yes,No
122,"Sumner, Charles Elementary","15 Basile St Roslindale, MA 02131",Roslindale,42.286408,-71.12688,Elementary School,K1-5,49105.0,1.090932048,1931,1931.0,Catherine MacCuish,9:30:00 AM,3:30:00 PM,37.0,79.0,152.0,130896.0,19329.0,18158.0,27697.0,8425.0,55451.0,Fair,Adequate,Moderate,Good,Yes,Yes,Yes,Good,Poor,Good,Poor,Yes,No
