,BPS_School_Name,BPS_Address,BRA_Neighborhood,SMMA_latitude,SMMA_longitude,SMMA_Typology,BPS_Grades_Offered,BPS_GSF,SMMA_Site_Acres,BPS_Year_Founded,BPS_Year_Built,BPS_Principal,BPS_Open,BPS_Close,DOE_PK,DOE_K,GSF/StudentValue,BPS_KWH,BPS_Electric_Bill,BPS_Therms,BPS_Gas_Bill,BPS_Water_Bill,BPS_Total_Energy_Cost,SMMA_FA_Overall_Building_Condition,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_Overall_Site_Condition,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_EA_Building_Ventilation,SMMA_EA_Building_Natural_Daylighting,SMMA_EA_Building_Air_Quality,SMMA_EA_site_includes_Playgrounds,SMMA_EA_site_includes_PlayFields
26,"Condon, James F. Elementary","200 D St South Boston, MA 02127",South Boston,42.3381626,-71.0525141,Elementary School,K0-6,140426.0,3.61365932,1975,1975.0,Robby Chisholm,8:30:00 AM,2:30:00 PM,55.0,83.0,145.0,783380.0,183575.0,133690.0,148439.0,32480.0,364494.0,Good,Minor,Minor,Good,Yes,Yes,Yes,Good,Fair,Good,Poor,Yes,Yes
27,"Conley, George H. Elementary","450 Poplar St Roslindale, MA 02131",Roslindale,42.2746039,-71.12731590000001,Elementary School,K0-5,25281.0,1.820592287,1931,1931.0,Joseph Foley,8:30:00 AM,2:30:00 PM,22.0,41.0,180.0,87524.0,9843.0,14007.0,16293.0,5586.0,31722.0,Fair,Moderate,Adequate,Fair,No,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
28,Curley K-8 (Lower School),"40 Pershing Rd Jamaica Plain, MA 02130",Jamaica Plain,42.319074900000004,-71.1140772,K-8,K1-5,34445.0,4.038475666,2007,1970.0,Katherine Grassa,8:30:00 AM,2:30:00 PM,87.0,87.0,226.0,203904.0,36879.0,13298.0,16031.0,6013.0,58923.0,Good,Replace,Minor,Fair,Yes,Yes,Yes,Fair,Fair,Good,Fair,Yes,Yes
31,"Dever, Paul A. Elementary","325 Mt Vernon St Dorchester, MA 02125",Dorchester,42.3175807,-71.0427667,Elementary School,K1-5,75892.0,6.476354454,1957,1957.0,75892,75892,75892,38.0,66.0,158.0,493520.0,76625.0,86865.0,109138.0,19400.0,205163.0,Poor,Replace,Minor,Fair,Yes,No,No,Fair,Poor,Fair,Poor,Yes,No
33,Dorchester Academy*,"11 Charles St. Dorchester, MA 02122",Dorchester,42.3009137,-71.0619253,High School,9-12,85935.0,2.705394858,1919,1928.0,Kwesi Moody,7:30:00 AM,1:55:00 PM,0.0,0.0,225.0,350496.0,87775.0,55181.0,61154.0,6407.0,155336.0,Good,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Good,Fair,Good,No,No
36,East Boston High,"86 White St East Boston, MA 02128",East Boston,42.380942100000006,-71.035078,High School,9-12,242505.0,5.070592287,1924,1924.0,Phillip R Brangiforte,7:30:00 AM,1:50:00 PM,0.0,0.0,166.0,632401.0,97928.0,88910.0,122202.0,18655.0,238785.0,Good,Minor,Moderate,Good,Yes,Yes,Yes,Good,Poor,Good,Poor,No,No
37,"Edison, Thomas A. K-8","60 Glenmont Rd Brighton, MA 02135",Brighton,42.3455224,-71.1601606,K-8,K0-8,100500.0,3.332254362,1932,1932.0,Mary Driscoll,8:30:00 AM,2:30:00 PM,31.0,54.0,171.0,267936.0,43091.0,53055.0,60369.0,16164.0,119624.0,Good,Minor,Moderate,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Poor,Yes,Yes
38,"Edwards, Clarence R. Middle","28 Walker St Charlestown, MA 02129",Charlestown,42.378634000000005,-71.067379,Middle School,6-8,81655.0,0.45576216700000005,1932,1932.0,Robert M Rametti,7:20:00 AM,4:15:00 PM,0.0,0.0,190.0,251056.0,40424.0,27949.0,39855.0,10801.0,91080.0,Good,Replace,Moderate,Poor,Yes,Yes,Yes,Poor,Poor,Fair,Poor,No,No
39,"Eliot, John K-8 (Lower School)","16 Charter St Boston, MA 02113",North End,42.366090299999996,-71.053403,K-8,K0-1,34603.0,0.40775941200000004,1932,1932.0,Traci Walker Griffith,8:30:00 AM,3:15:00 PM,33.0,75.0,180.0,117120.0,16893.0,13001.0,20511.0,7290.0,44694.0,Fair,Replace,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,Yes,No
42,"Ellis, David A. Elementary","302 Walnut Ave Roxbury, MA 02119",Roxbury,42.3169018,-71.09228879999999,Elementary School,K1-5,51123.0,2.650895317,1932,1932.0,Cynthia Jacobs-Tolbert,9:30:00 AM,3:30:00 PM,47.0,84.0,164.0,124120.0,20022.0,19893.0,30013.0,8607.0,58642.0,Fair,Replace,Adequate,Fair,No,Yes,Yes,Fair,Poor,Good,Poor,Yes,Yes
43,Ellison/Parks Early Education School,"108 Babson St Mattapan, MA 02126",Mattapan,42.2717653,-71.0916852,Early Learning,K0-3,36820.0,1.902203857,1998,1998.0,Natalie Ake,7:30:00 AM,4:35:00 PM,45.0,39.0,200.0,286716.0,50820.0,15747.0,18191.0,7571.0,76582.0,Excellent,Adequate,Adequate,Good,Yes,Yes,Yes,Good,Excellent,Good,Excellent,Yes,No
45,"English High, The","144 McBride St Jamaica Plain, MA 02130",Jamaica Plain,42.3065838,-71.1092285,High School,9-12,225560.0,4.99432966,1821,1979.0,Ligia Noriega-Murphy,7:20:00 AM,2:20:00 PM,0.0,0.0,225.0,621720.0,158590.0,199318.0,197335.0,30182.0,386107.0,Good,Minor,Adequate,Good,Yes,Yes,Yes,Good,Fair,Good,Fair,No,Yes
46,"Everett, Edwards Elementary","71 Pleasant St Dorchester, MA 02125",Dorchester,42.3136206,-71.0597932,Elementary School,K0-5,30634.0,1.5412763999999999,1908,1909.0,Laura Miceli,9:30:00 AM,3:30:00 PM,16.0,40.0,180.0,101876.0,15870.0,13758.0,16350.0,3444.0,35664.0,Fair,Minor,Adequate,Good,Yes,Yes,Yes,Good,Poor,Fair,Poor,Yes,Yes
47,Excel High,"95 G St South Boston, MA 02127",South Boston,42.3329047,-71.0448291,High School,9-12,160269.0,2.8597566569999997,2001,1901.0,Stephanie Sibley,7:25:00 AM,1:45:00 PM,0.0,0.0,225.0,539552.0,74392.0,89310.0,109794.0,29844.0,214030.0,Fair,Adequate,Moderate,Fair,No,No,Yes,Fair,Poor,Good,Poor,No,No
48,Fenway High,"67 Alleghany Street Boston, MA 02120",Mission Hill,42.3306688,-71.09930109999999,High School,9-12,66000.0,1.5955463730000001,1997,1925.0,Peggy Kemp,8:30:00 AM,3:35:00 PM,0.0,0.0,225.0,272976.0,41393.0,34253.0,38544.0,6184.0,86121.0,Excellent,Adequate,Minor,Good,Yes,Yes,Yes,Good,Fair,Excellent,Fair,Yes,No
49,"Frederick, Lilla G. Middle","270 Columbia Rd Dorchester, MA 02121",Dorchester,42.309174600000006,-71.0755999,Middle School,6-8,144008.0,2.553076217,2003,2002.0,James Brewer,9:30:00 AM,3:40:00 PM,0.0,0.0,184.0,1177520.0,239086.0,46741.0,52294.0,12972.0,304352.0,Excellent,Adequate,Minor,Excellent,No,Yes,Yes,Excellent,Excellent,Excellent,Excellent,No,Yes
50,Gardner Pilot Academy K-8,"30 Athol St Allston, MA 02134",Allston,42.360779,-71.133957,K-8,K1-8,59196.0,1.38677686,1906,1906.0,Erica Herman,8:30:00 AM,2:30:00 PM,13.0,32.0,230.0,158252.0,26168.0,21968.0,25072.0,5121.0,56361.0,Good,Adequate,Minor,Good,No,Yes,Yes,Good,Poor,Fair,Poor,Yes,No
54,"Grew, Henry Elementary","40 Gordon Ave Hyde Park, MA 02136",Hyde Park,42.2568107,-71.12723100000001,Elementary School,K1-5,32216.0,1.585146924,1956,1958.0,Maudlin Wright,8:30:00 AM,2:30:00 PM,19.0,39.0,180.0,102720.0,16769.0,11528.0,8779.0,5094.0,30642.0,Good,Minor,Minor,Good,No,Yes,Yes,Good,Fair,Good,Fair,Yes,No
55,"Guild, Curtis Elementary","5 Ashley Street/195 Leyden St East Boston, MA 02128",East Boston,42.388678000000006,-71.0042563,Elementary School,K1-5,32127.0,1.350895317,1921,1921.0,Karen L. McCarthy,8:30:00 AM,2:30:00 PM,25.0,38.0,177.0,124560.0,20081.0,12857.0,16084.0,8262.0,44427.0,Good,Minor,Minor,Good,Yes,Yes,Yes,Good,Fair,Good,Fair,Yes,No
56,"Hale, Nathan Elementary","51 Cedar St Roxbury, MA 02119",Roxbury,42.325175099999996,-71.0911723,Elementary School,K1-5,23084.0,1.051905418,1909,1909.0,Sandra Mitchell-Woods,8:30:00 AM,2:30:00 PM,16.0,21.0,180.0,114420.0,19610.0,9841.0,11742.0,3464.0,34816.0,Fair,Replace,Moderate,Poor,Yes,Yes,Yes,Poor,Poor,Fair,Fair,Yes,No
57,"Haley K - 8, Dennis","570 Amer Legion Hwy Roslindale, MA 02131",Roslindale,42.286377,-71.107826,K-8,K1-8,38993.0,2.652341598,1973,1971.0,Angel Charles,8:30:00 AM,2:30:00 PM,31.0,38.0,210.0,346248.0,56613.0,15748.0,18247.0,8303.0,83163.0,Good,Replace,Moderate,Good,No,Yes,Yes,Good,Good,Fair,Good,Yes,No
59,Harvard/Kent Elementary,"50 Bunker Hill St Charlestown, MA 02129",Charlestown,42.376938700000004,-71.0575946,Elementary School,K0-5,93350.0,2.705417815,1972,1971.0,Jason Gallagher,9:30:00 AM,3:30:00 PM,25.0,55.0,154.0,310860.0,77142.0,65279.0,73556.0,12886.0,163584.0,Fair,Minor,Minor,Good,Yes,Yes,Yes,Good,Good,Fair,Good,Yes,No
60,Haynes Early Education Center,"263 Blue Hill Ave Roxbury, MA 02119",Roxbury,42.3151445,-71.0789471,Early Learning,K0-1,35500.0,1.285720845,1998,1998.0,Donette Wilson-Wood,7:30:00 AM,4:35:00 PM,50.0,60.0,200.0,276700.0,62116.0,18772.0,21587.0,7619.0,91322.0,Excellent,Moderate,Minor,Good,No,Yes,Yes,Good,Good,Good,Good,Yes,No
61,"Henderson, Dr. William W. Inclusion (Lower School)","1669 Dorchester Ave Dorchester, MA 02122",Dorchester,42.2937925,-71.0620708,Elementary School,K0-4,30381.0,1.3622589530000002,2009,1972.0,"Co-Principal, Patricia Lampron",8:30:00 AM,12:00:00 AM,47.0,46.0,180.0,82360.0,13059.0,28093.0,32237.0,4594.0,49890.0,Fair,Not Present,Adequate,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
62,"Henderson, Dr. William W. Inclusion (Upper School)","18 Croftland Avenue Dorchester, MA 02124",Dorchester,42.28093870000001,-71.06974340000001,High School,5-12,97130.0,2.650183655,2009,1932.0,"Co-principal: Nadia Cyprien ( 5-8) 
Headmaster: Isabel Depina (9-11)",7:40:00 AM,3:05:00 PM,0.0,0.0,225.0,249096.0,40178.0,47648.0,60996.0,5751.0,106925.0,Fair,Adequate,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,Yes,No
63,"Hennigan, James W. K-8*","200 Heath St Jamaica Plain, MA 02130",Jamaica Plain,42.326026,-71.106821,K-8,K2-7,110800.0,5.672222222,1972,1972.0,Maria Cordon,9:30:00 AM,3:30:00 PM,0.0,37.0,174.0,120384.0,74435.0,267450.0,276004.0,37653.0,388092.0,Good,Minor,Moderate,Good,Yes,Yes,Yes,Good,Fair,Fair,Fair,Yes,Yes
64,"Hernandez, Rafael K-8","61 School St Roxbury, MA 02119",Jamaica Plain,42.3139281,-71.0978418,K-8,K1-8,64313.0,1.592676768,1923,1923.0,Ana Tavares,8:30:00 AM,2:30:00 PM,46.0,45.0,235.0,134730.0,19389.0,34872.0,39700.0,9801.0,68890.0,Fair,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,Yes,No
66,Higginson/Lewis K-8,"131 Walnut Ave Roxbury, MA 02119",Roxbury,42.3205359,-71.0865804,K-8,K1-8,76220.0,1.6946510559999999,1911,1912.0,Joy Salesman-Oliver,9:30:00 AM,3:30:00 PM,2.0,2.0,204.0,151240.0,24093.0,26498.0,36674.0,13389.0,74156.0,Fair,Replace,Moderate,Fair,No,Yes,Yes,Fair,Deficient,Fair,Deficient,Yes,No
67,"Holmes, Oliver Wendell Elementary","40 School St Dorchester, MA 02124",Dorchester,42.2966781,-71.0749009,Elementary School,K1-5,60280.0,1.294398531,1906,1905.0,Yeshi Gaskin,9:30:00 AM,3:30:00 PM,32.0,59.0,173.0,158496.0,23226.0,19269.0,22583.0,12858.0,58667.0,Fair,Not Present,Minor,Fair,No,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
68,Horace Mann School for the Deaf and Hard of Hearing*,"40 Armington St Allston, MA 02134",Allston,42.3519992,-71.1377044,Special,K0-12,34220.0,1.806634527,1975,1975.0,Jeremiah Ford,7:20:00 AM,1:40:00 PM,10.0,4.0,225.0,744520.0,196134.0,257595.0,258136.0,29828.0,484098.0,Good,Moderate,Replace,Fair,Yes,Yes,Yes,Fair,Poor,Poor,Poor,Yes,No
69,"Hurley, Joseph K-8","70 Worcester St Boston, MA 02118",South End,42.338747600000005,-71.0777468,K-8,K0-8,41479.0,1.9191460059999998,1961,1961.0,Marjorie Soto,8:30:00 AM,2:30:00 PM,27.0,49.0,244.0,125360.0,21768.0,22480.0,25977.0,4414.0,52159.0,Good,Minor,Minor,Good,Yes,Yes,Yes,Good,Fair,Excellent,Fair,Yes,Yes
70,"Irving, Washington Middle","105 Cummins Hgwy Roslindale, MA 02131",Roslindale,42.2833946,-71.1253724,Middle School,5-8,110377.0,3.40567034,1936,1937.0,Arthur Unobskey,7:15:00 AM,4:15:00 PM,0.0,0.0,190.0,316596.0,43067.0,48815.0,59636.0,6365.0,109068.0,Good,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
71,Jackson/Mann K-8*,"40 Armington St Allston, MA 02134",Allston,42.3519992,-71.1377044,K-8,K1-8,167604.0,1.806634527,1975,1975.0,Andy Tuite,9:30:00 AM,3:30:00 PM,50.0,89.0,180.0,744520.0,196134.0,257595.0,258136.0,29828.0,484098.0,Good,Moderate,Replace,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Fair,Yes,No
74,"Kennedy, John F Elementary","7 Bolster St Jamaica Plain, MA 02130",Jamaica Plain,42.321944099999996,-71.10629240000002,Elementary School,K1-5,49194.0,1.5226584019999998,1963,1963.0,Waleska Landing-Rivera,8:30:00 AM,3:00:00 PM,21.0,59.0,170.0,117816.0,20248.0,28390.0,32656.0,13660.0,66564.0,Fair,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Good,Fair,Yes,No
75,"Kennedy, Patrick Elementary","343 Saratoga St East Boston, MA 02128",East Boston,42.3785345,-71.03048270000001,Elementary School,K0-5,27086.0,1.261524334,1926,1933.0,Walter Henderson,9:30:00 AM,3:30:00 PM,26.0,42.0,180.0,91904.0,14252.0,8762.0,10565.0,3858.0,28675.0,Fair,Replace,Moderate,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,Yes,Yes
76,"Kenny, Thomas J. Elementary","19 Oakton Ave Dorchester, MA 02122",Dorchester,42.2864958,-71.05323299999999,Elementary School,K0-5,37578.0,1.607805326,1926,1926.0,Dr. Catarina da Silva,9:30:00 AM,3:30:00 PM,29.0,25.0,179.0,98967.0,15429.0,10270.0,12224.0,4349.0,32002.0,Fair,Minor,Minor,Good,Yes,Yes,Yes,Good,Poor,Excellent,Poor,Yes,Yes
79,"King, Martin Luther, Jr K-8","77 Lawrence Ave Dorchester, MA 02121",Dorchester,42.311054999999996,-71.076481,K-8,K0-8,113462.0,1.964233242,1937,1937.0,Khita Pottinger,8:30:00 AM,2:30:00 PM,61.0,54.0,215.0,284100.0,45002.0,46693.0,55473.0,9277.0,109752.0,Fair,Minor,Adequate,Good,No,Yes,Yes,Good,Poor,Good,Poor,Yes,Yes
80,Lee Academy at the Fifield,"25 Dunbar Av Dorchester, MA 02124",Dorchester,42.286794,-71.07270799999999,Early Learning,K0-1,31654.0,0.868916437,1971,1916.0,Amelia H Gorman,9:30:00 AM,3:30:00 PM,61.0,66.0,200.0,81805.0,13418.0,14792.0,17155.0,3861.0,34434.0,Fair,Minor,Moderate,Fair,Yes,Yes,Yes,Fair,Deficient,Good,Deficient,Yes,No
81,"Lee, Joseph K-8","155 Talbot Ave Dorchester, MA02124",Dorchester,42.2921266,-71.0802923,K-8,K0-8,146371.0,4.938567493,1971,1971.0,Kimberly Crowley,7:30:00 AM,1:30:00 PM,46.0,50.0,189.0,494502.0,128505.0,122164.0,131602.0,41041.0,301148.0,Good,Moderate,Adequate,Good,No,Yes,Yes,Good,Poor,Good,Poor,Yes,No
82,"Lyndon, Patrick K-8","20 Mt Vernon St West Roxbury, MA 02132",West Roxbury,42.282889399999995,-71.1586118,K-8,K1-8,93374.0,1.842607897,1919,1919.0,Kathleen Tunney,9:30:00 AM,3:30:00 PM,66.0,65.0,211.0,576307.0,141923.0,136956.0,148757.0,44902.0,335582.0,Good,Minor,Minor,Good,No,Yes,Yes,Good,Deficient,Fair,Deficient,Yes,No
83,"Lyon, Mary High","95 Beechcroft St Brighton, MA 02135",Brighton,42.352183000000004,-71.16077359999998,High School,9-12,47314.0,1.195247934,1935,1925.0,Jean-Dominique Herve Anoh,8:30:00 AM,3:30:00 PM,0.0,0.0,225.0,114480.0,16512.0,23058.0,26268.0,5794.0,48574.0,Good,Moderate,Moderate,Fair,Yes,Yes,Yes,Fair,Poor,Poor,Poor,Yes,No
84,"Lyon, Mary K-8","50 Beechcroft St Brighton, MA 02135",Brighton,42.351088399999995,-71.1614661,K-8,K2-8,13336.0,0.9182736459999999,1926,1926.0,Deborah Rooney,9:30:00 AM,3:30:00 PM,0.0,11.0,404.0,101040.0,19629.0,5578.0,7083.0,1833.0,28545.0,Good,Moderate,Moderate,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
86,"Manning, Joseph P. Elementary","130 Louders Lane Jamaica Plain, MA 02130",Jamaica Plain,42.305464,-71.13144799999999,Elementary School,K1-5,17391.0,1.733976125,1941,1941.0,Ethan d'Ablemont-Burnes,9:30:00 AM,3:30:00 PM,15.0,21.0,180.0,84624.0,13386.0,10052.0,11948.0,2639.0,27973.0,Fair,Replace,Minor,Fair,No,Yes,Yes,Fair,Fair,Excellent,Fair,Yes,No
87,"Mason, Samuel W. Elementary","150 Norfolk Ave Roxbury, MA 02119",Roxbury,42.326133299999995,-71.07131340000001,Elementary School,K0-5,27642.0,1.285720845,1905,1905.0,Lauretta Lewis-Medley,8:30:00 AM,2:30:00 PM,24.0,30.0,180.0,87640.0,13892.0,13551.0,15819.0,5401.0,35112.0,Fair,Minor,Minor,Poor,No,Yes,Yes,Poor,Deficient,Good,Deficient,Yes,No
88,Mather Elementary,"24 Parish St Dorchester, MA 02122",Dorchester,42.3079632,-71.0623593,Elementary School,K1-5,76974.0,2.694972452,1905,1905.0,Emily Cox,9:30:00 AM,3:30:00 PM,63.0,92.0,145.0,190940.0,30118.0,10725.0,12731.0,12906.0,55755.0,Fair,Adequate,Minor,Fair,Yes,Yes,Yes,Fair,Deficient,Good,Deficient,Yes,No
89,Mattahunt Elementary,"100 Hebron St Mattapan, MA 02126",Mattapan,42.2763126,-71.1033928,Elementary School,K0-5,135658.0,10.06999541,1972,1977.0,Genteen Lacet Jean-Michel,9:30:00 AM,4:00:00 PM,75.0,103.0,145.0,780200.0,147846.0,123371.0,108616.0,23580.0,280042.0,Excellent,Moderate,Moderate,Fair,No,No,No,Fair,Fair,Good,Fair,Yes,Yes
